# genomes_0
x, max
0, 0.6412755492234182
1, 0.6412755492234182
2, 0.6412755492234182
3, 0.6412755492234182
4, 0.6412755492234182
5, 0.6412755492234182
6, 0.6412755492234182
7, 0.6412755492234182
8, 0.6412755492234182
9, 0.6412755492234182
10, 0.6412755492234182
11, 0.6412755492234182
12, 0.6412755492234182
13, 0.6412755492234182
14, 0.6412755492234182
15, 0.6412755492234182
16, 0.6412755492234182
17, 0.6412755492234182
18, 0.6412755492234182
19, 0.6412755492234182
20, 0.6412755492234182
21, 0.6412755492234182
22, 0.6412755492234182
23, 0.6412755492234182
24, 0.6412755492234182
25, 0.6412755492234182
26, 0.6412755492234182
27, 0.6412755492234182
28, 0.6412755492234182
29, 0.6412755492234182
30, 0.6412755492234182
31, 0.8097603001772936
32, 0.8097603001772936
33, 0.8097603001772936
34, 0.8097603001772936
35, 0.8097603001772936
36, 0.8097603001772936
37, 0.8097603001772936
38, 0.8097603001772936
39, 0.8097603001772936
40, 0.8097603001772936
41, 0.8097603001772936
42, 0.8097603001772936
43, 0.8097603001772936
44, 0.8097603001772936
45, 0.8097603001772936
46, 0.8097603001772936
47, 0.8097603001772936
48, 0.8097603001772936
49, 0.8097603001772936
50, 0.8097603001772936
51, 0.8097603001772936
52, 0.8097603001772936
53, 0.845351397856604
54, 0.845351397856604
55, 0.845351397856604
56, 0.845351397856604
57, 0.845351397856604
58, 0.845351397856604
59, 0.845351397856604
60, 0.845351397856604
61, 0.845351397856604
62, 0.845351397856604
63, 0.845351397856604
64, 0.845351397856604
65, 0.845351397856604
66, 0.845351397856604
67, 0.845351397856604
68, 0.845351397856604
69, 0.845351397856604
70, 0.845351397856604
71, 0.845351397856604
72, 0.845351397856604
73, 0.845351397856604
74, 0.845351397856604
75, 0.845351397856604
76, 0.845351397856604
77, 0.845351397856604
78, 0.845351397856604
79, 0.845351397856604
80, 0.845351397856604
81, 0.845351397856604
82, 0.845351397856604
83, 0.845351397856604
84, 0.845351397856604
85, 0.845351397856604
86, 0.9974643460138126
87, 0.9974643460138126
88, 0.9974643460138126
89, 0.9974643460138126
90, 0.9974643460138126
91, 0.9974643460138126
92, 0.9974643460138126
93, 0.9974643460138126
94, 0.9974643460138126
95, 0.9974643460138126
96, 0.9974643460138126
97, 0.9974643460138126
98, 0.9974643460138126
99, 0.9974643460138126
100, 0.9974643460138126
101, 0.9974643460138126
102, 0.9974643460138126
103, 0.9974643460138126
104, 0.9974643460138126
105, 0.9974643460138126
106, 0.9974643460138126
107, 0.9974643460138126
108, 0.9974643460138126
109, 0.9974643460138126
110, 0.9974643460138126
111, 0.9974643460138126
112, 0.9974643460138126
113, 0.9974643460138126
114, 0.9974643460138126
115, 0.9974643460138126
116, 1.0
117, 1.0
118, 1.0
119, 1.0
120, 1.0
121, 1.0
122, 1.0
123, 1.0
124, 1.0
125, 1.0
126, 1.0
127, 1.0
128, 1.0
129, 1.0
130, 1.0
131, 1.0
132, 1.0
133, 1.0
134, 1.0
135, 1.0
136, 1.0
137, 1.0
138, 1.0
139, 1.0
140, 1.0
141, 1.0
142, 1.0
143, 1.0
144, 1.0
145, 1.0
146, 1.0
147, 1.0
148, 1.0
149, 1.0
150, 1.0
151, 1.0
152, 1.0
153, 1.0
154, 1.0
155, 1.0
156, 1.0
157, 1.0
158, 1.0
159, 1.0
160, 1.0
161, 1.0
162, 1.0
163, 1.0
164, 1.0
165, 1.0
166, 1.0
167, 1.0
168, 1.0
169, 1.0
170, 1.0
171, 1.0
172, 1.0
173, 1.0
174, 1.0
175, 1.0
176, 1.0
177, 1.0
178, 1.0
179, 1.0
180, 1.0
181, 1.0
182, 1.0
183, 1.0
184, 1.0
185, 1.0
186, 1.0
187, 1.0
188, 1.0
189, 1.0
190, 1.0
191, 1.0
192, 1.0
193, 1.0
194, 1.0
195, 1.0
196, 1.0
197, 1.0
198, 1.0
199, 1.0
200, 1.0



# genomes_semi_0
x, max
0, 0.4559613961113614
1, 0.48285840454184514
2, 0.48285840454184514
3, 0.48285840454184514
4, 0.48876032548351556
5, 0.5167173948069997
6, 0.5167173948069997
7, 0.5167173948069997
8, 0.5167173948069997
9, 0.5167173948069997
10, 0.5167173948069997
11, 0.5167173948069997
12, 0.5167173948069997
13, 0.5167173948069997
14, 0.5167173948069997
15, 0.5167173948069997
16, 0.5536421369477085
17, 0.5536421369477085
18, 0.5536421369477085
19, 0.5536421369477085
20, 0.5536421369477085
21, 0.5536421369477085
22, 0.5536421369477085
23, 0.5536421369477085
